
                           PyRate - 20170222

           Bayesian estimation of speciation and extinction
                  rates from fossil occurrence data        

               Daniele Silvestro, Jan Schnitzler et al.
                        pyrate.help@gmail.com




The analysis includes 211 species (0 were excluded)
Using Gamma priors on the birth-death rates (G_l[1.1,1.1], G_m[1.1,1.1]).


DATA SUMMARY

211 species included in the data set
51 species have a single occurrence, 9 species are extant
2946 fossil occurrences (1 replicates), ranging from 54.183 (+/- 0.0) to 0.001 (+/- 0.0) Ma

Taxon	FA	LA
Aelurodon	15.824	6.861	
Aelurodon_asthenostylus	20.264	13.611	
Aelurodon_ferox	22.265	6.445	
Aelurodon_mcgrewi	15.962	9.53	
Aelurodon_montanensis	14.084	14.084	
Aelurodon_stirtoni	18.819	10.388	
Aelurodon_taxoides	21.051	6.304	
Aelurodon_wheelerianus	19.092	19.092	
Alopex	3.437	3.437	
Alopex_lagopus	1.565	0.003	
Archaeocyon_falkenbachi	23.147	23.147	
Archaeocyon_leptodus	32.787	23.009	
Archaeocyon_pavidus	32.93	21.862	
Borophaginae	23.73	5.423	
Borophagus	14.3	1.992	
Borophagus_diversidens	4.854	1.993	
Borophagus_dudleyi	4.899	4.899	
Borophagus_hilli	21.125	1.96	
Borophagus_littoralis	21.786	10.561	
Borophagus_orc	7.23	4.564	
Borophagus_parvus	9.181	8.302	
Borophagus_pugnator	18.016	5.77	
Borophagus_secundus	22.623	5.6	
Caedocyon_tedfordi	20.744	20.744	
Canidae	37.095	0.014	
Caninae	25.137	0.017	
Canini	6.724	3.278	
Canis	21.358	0.001	
Canis_(Pseudalopex)	1.316	0.039	
Canis_adustus	2.792	0.007	extant
Canis_anthus	2.484	1.764	extant
Canis_apolloniensis	1.074	1.074	
Canis_armbrusteri	4.379	0.012	
Canis_aureus	2.738	0.008	extant
Canis_cedazoensis	0.813	0.813	
Canis_dirus	2.456	0.012	
Canis_edwardii	22.515	0.313	
Canis_familiaris	0.589	0.001	extant
Canis_ferox	9.778	2.282	
Canis_latrans	4.377	0.003	extant
Canis_lepophagus	6.881	0.115	
Canis_lupus	2.893	0.002	extant
Canis_mesomelas	4.879	0.002	extant
Canis_proplatensis	1.38	1.38	
Canis_rufus	3.7	0.093	extant
Canis_thooides	3.511	3.511	
Carpocyon	19.482	14.201	
Carpocyon_compressus	18.067	12.058	
Carpocyon_limosus	8.151	6.359	
Carpocyon_robustus	15.877	10.49	
Carpocyon_webbi	15.907	9.793	
Cerdocyon_avius	5.19	3.994	
Cerdocyon_texanus	8.793	4.856	
Cerdocyon_thous	0.121	0.005	
Chailicyon_crassidens	37.388	37.388	
Chrysocyon	1.828	1.828	
Chrysocyon_brachyurus	2.027	1.098	
Chrysocyon_nearcticus	3.145	1.889	
Cormocyon	30.505	30.505	
Cormocyon_copei	28.054	8.286	
Cormocyon_haydeni	26.714	21.02	
Cubacyon_transversidens	2.208	2.208	
Cuon	0.773	0.066	
Cuon_alpinus	2.465	0.064	
Cynarctoides_acridens	27.203	13.65	
Cynarctoides_emryi	20.134	16.493	
